State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Year Average
Louisiana,2014,0.01048086921148036,0.02333415709969787,0.0012594800785498492,0.26523949244713,0.07507849970921453
Louisiana,2015,0.009380472674931124,0.02353977685950413,0.0010836928595041328,0.2224250771349865,0.06410725488223147
Louisiana,2016,0.012911401631578938,0.026846491228070177,0.0011229644736842099,0.23494315789473655,0.06895600380701747
Maine,2006,0.0023369101724137913,0.02627869655172413,0.0008309399206896563,0.17906238620689677,0.052127233212931084
Maine,2007,0.0028001102273972605,0.026452495890410942,0.0007868269041095892,0.1733734986301372,0.050853232913013746
Maine,2008,0.005859293306451611,0.023858372759856646,0.0012248241129032248,0.16359313799283168,0.04863390704301079
Maine,2009,0.006680511959276019,0.023028466063348442,0.001838705585218704,0.2059198190045253,0.059366875653092115
Maine,2010,0.006162846092006036,0.02620395927601808,0.0009522129562594258,0.2538253288084466,0.07178608678318253
Maine,2011,0.005594337942896936,0.02451635654596101,0.0008254824693593305,0.23291655013927587,0.06596318177437328
Maine,2012,0.006060147150208632,0.024599691237830325,0.0007708741919332404,0.28714459388039004,0.07964382661509056
Maine,2013,0.003910529319838054,0.027154580971659913,0.0008496654048582997,0.22169849190283422,0.06340331689979763
Maine,2014,0.003583531711974111,0.024984126213592237,0.0005410900954692559,0.2129048365695797,0.06050339614765383
Maine,2015,0.005033321642962969,0.024419921481481494,0.0008684475777777777,0.2462495318518519,0.06914280563851853
Maine,2016,0.006556909069930073,0.02819673426573429,0.0003453962937062936,0.30069909090909075,0.08394953263461535
Maryland,2006,0.011530203601226996,0.03315900613496935,0.003940766907975459,0.36085148466257677,0.10237036532668714
Maryland,2007,0.012686387370481939,0.024690582831325317,0.0032186956972891584,0.37880056927710776,0.10484905879405104
Maryland,2008,0.012607999467391308,0.023648802173913037,0.0028220292847826074,0.3844211369565213,0.10587499197065206
Maryland,2009,0.011537441529780566,0.02459554545454545,0.002524482326018807,0.4662792570532914,0.12623418159090904
Maryland,2010,0.013082870791304334,0.028361472463768096,0.002166405371014492,0.39331343478260866,0.1092310458521739
Maryland,2011,0.012948896150159749,0.026296115015974446,0.0020049736581469664,0.30240344089456883,0.0859133564297125
Maryland,2012,0.010183034609011628,0.02561392151162792,0.0011481492819767458,0.2440419258720927,0.07024675781867724
Maryland,2013,0.009740398957664242,0.025451766423357666,0.0009707553459854008,0.22570037664233555,0.06546582434233572
Maryland,2014,0.006951498444108749,0.02802680664652569,0.0010820596747230613,0.1973502437059408,0.058352652117824574
Maryland,2015,0.007421759729292921,0.028051430303030315,0.0009016087020202019,0.2150276737373734,0.0628506181179292
Maryland,2016,0.009200685738805971,0.027408578358208965,0.0007459546791044777,0.25065925373134385,0.07200361812686581
Massachusetts,2001,0.024048433761538448,0.019194230769230766,0.005924173426923075,0.3000868423076921,0.0873134200663461
Massachusetts,2002,0.022544425089211624,0.022287304979253107,0.004584319717842325,0.40121146058091245,0.11265687759180487
Massachusetts,2003,0.022496309909589052,0.019212315068493146,0.006010301808219178,0.620916808219178,0.16715893375136986
Massachusetts,2004,0.016820704006349215,0.020858250793650807,0.003652434136507935,0.19710807301587302,0.05960986548809524
Massachusetts,2005,0.018649079613180523,0.020080340974212026,0.0019744043638968475,0.2729017306590259,0.07840138890257882
Massachusetts,2006,0.01867690043611113,0.017630241666666678,0.0024164893888888885,0.4578121777777779,0.12413395231736114
Massachusetts,2007,0.019697182419889513,0.0185173314917127,0.0031758756077348064,0.36375329005524865,0.10128591989364642
Massachusetts,2008,0.019678690358904124,0.0205133616438356,0.00235093041369863,0.17375957808219172,0.05407564012465752
Massachusetts,2009,0.01804838470914126,0.02112741551246537,0.0021474654432132936,0.28653518559556823,0.08196461281509704
Massachusetts,2010,0.017071956618784526,0.02218419337016575,0.001601100022099447,0.28047954696132626,0.080334199243094
Massachusetts,2011,0.018529944335164843,0.020850771978021973,0.0012634486071428576,0.2884578049450554,0.08227549246634627
Massachusetts,2012,0.01580814152089136,0.020715818941504184,0.001120633261838441,0.27748388022284115,0.07878211848676879
Massachusetts,2013,0.01747634543220338,0.021579115819209033,0.001089475525423728,0.2738551355932205,0.07850001809251417
Massachusetts,2014,0.015571230801242236,0.021383965838509315,0.0010447134285714288,0.27665605590062126,0.07866399149223606
Massachusetts,2015,0.014398738250773995,0.022485863777089797,0.0007338462012383909,0.27296878328173396,0.07764680787770903
Massachusetts,2016,0.0158292733956044,0.023563384615384608,0.0006916385934065935,0.2703682197802198,0.07761312909615385
Michigan,2000,0.02268206501111111,0.023366822222222226,0.005420798816666663,0.2806807944444445,0.08303762012361113
Michigan,2001,0.022779874748299303,0.028067523809523827,0.0054207005646258475,0.39756936054421765,0.11345936491666665
Michigan,2002,0.018171084436260608,0.02853956657223796,0.0034270465297450417,0.36845750141643063,0.10464879973866856
